,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000121766.10,ZCCHC17,1880.698814,1696.322904,1955.954288,-0.358522671,0.080929912,-4.430039084,9.42E-06,0.000300368
ENSG00000109911.13,ELP4,360.240151,458.5994759,320.0934878,0.510974222,0.115372389,4.428912555,9.47E-06,0.000301257
ENSG00000174720.11,LARP7,974.3182737,1169.946928,894.4698433,0.395087782,0.08920189,4.429141368,9.46E-06,0.000301257
ENSG00000084628.5,NKAIN1,444.163798,258.454339,519.9635771,-0.904462987,0.204250347,-4.428207832,9.50E-06,0.000301901
ENSG00000214100.4,AC079776.2,33.88128157,9.914657906,43.66357695,-1.57709221,0.356183352,-4.427753859,9.52E-06,0.000302152
ENSG00000255556.2,RP11-351I21.6,8.893386547,1.685205348,11.83550132,-1.893230977,0.427603274,-4.427540886,9.53E-06,0.000302152
ENSG00000123595.5,RAB9A,614.7585126,796.3752913,540.6292151,0.586012004,0.132476465,4.423517811,9.71E-06,0.000307143
ENSG00000242247.6,ARFGAP3,1031.486154,1244.135741,944.6904048,0.383003519,0.086578938,4.423749322,9.70E-06,0.000307143
ENSG00000215580.6,BCORP1,7.01055571,11.15244111,5.319990241,1.351392909,0.305550658,4.422811318,9.74E-06,0.000307803
ENSG00000260001.2,TGFBR3L,312.29437,195.2158671,360.081514,-0.901921153,0.204004083,-4.421093631,9.82E-06,0.000309912
ENSG00000082684.10,SEMA5B,578.8522848,393.0770392,654.6789157,-0.774275506,0.17524372,-4.41827818,9.95E-06,0.000312299
ENSG00000113946.3,CLDN16,30.90044413,18.68669306,35.88564865,-1.049509992,0.237541115,-4.418224573,9.95E-06,0.000312299
ENSG00000126218.7,F10,57.14975084,91.94476603,42.94770383,0.910233798,0.205989993,4.418825319,9.92E-06,0.000312299
ENSG00000144802.7,NFKBIZ,222.7981911,302.208241,190.3859258,0.868345769,0.196532176,4.418338967,9.95E-06,0.000312299
ENSG00000258736.1,RP11-982M15.7,12.2683794,7.188055056,14.34198118,-1.34582362,0.304562355,-4.418877118,9.92E-06,0.000312299
ENSG00000248208.1,RP11-153M7.1,4.755546941,8.624705758,3.176298444,1.819332752,0.411805678,4.417939939,9.96E-06,0.000312362
ENSG00000130309.6,COLGALT1,1258.594235,1499.34616,1160.328144,0.493974326,0.111864507,4.415827147,1.01E-05,0.000315077
ENSG00000175711.4,B3GNTL1,288.8592212,229.2992734,313.1694039,-0.477094193,0.108053092,-4.415368263,1.01E-05,0.000315394
ENSG00000070495.10,JMJD6,1030.690393,1311.383582,916.1217437,0.556386813,0.126051882,4.413950875,1.02E-05,0.000317114
ENSG00000174236.2,REP15,12.75748842,22.25363783,8.88150907,1.292407829,0.292978516,4.411271676,1.03E-05,0.000320708
ENSG00000228140.1,RP3-467K16.4,17.95813798,9.814425207,21.28210238,-1.148512395,0.260390758,-4.410726422,1.03E-05,0.000321159
ENSG00000138346.10,DNA2,224.0243725,284.0235464,199.5349137,0.727027465,0.164884115,4.409323877,1.04E-05,0.000322599
ENSG00000271040.1,RP5-933K21.3,13.2578616,7.137468666,15.75598117,-1.282665567,0.290901522,-4.409277606,1.04E-05,0.000322599
ENSG00000184005.9,ST6GALNAC3,411.890738,525.7914725,365.4006423,0.635961691,0.144249423,4.408764191,1.04E-05,0.000323007
ENSG00000070010.13,UFD1L,1136.884913,1337.077472,1055.173665,0.45268955,0.102725048,4.406807869,1.05E-05,0.000325577
ENSG00000126953.5,TIMM8A,181.1022037,153.0539309,192.5504783,-0.470637547,0.10681732,-4.406004069,1.05E-05,0.000326426
ENSG00000178802.13,MPI,1479.994254,1265.371674,1567.595308,-0.335892315,0.076263779,-4.404349218,1.06E-05,0.000328565
ENSG00000119953.7,SMNDC1,692.1124511,823.8057062,638.360102,0.37706343,0.085702549,4.399675768,1.08E-05,0.000335224
ENSG00000155465.14,SLC7A7,102.6752559,139.5952233,87.60588137,0.92553937,0.210372851,4.399519064,1.08E-05,0.000335224
ENSG00000104043.10,ATP8B4,114.1505704,162.6907606,94.33824788,0.819258324,0.186272995,4.39815939,1.09E-05,0.00033696
ENSG00000166689.9,PLEKHA7,313.9328751,361.6889162,294.4406135,0.724472391,0.164808497,4.395843692,1.10E-05,0.000340199
ENSG00000111886.9,GABRR2,7.599600479,13.47991257,5.199473094,1.505360849,0.342470536,4.39559229,1.10E-05,0.00034022
ENSG00000260337.1,RP11-386M24.6,68.44462139,95.07092931,57.5767406,0.940754585,0.214181293,4.392328439,1.12E-05,0.000344991
ENSG00000250526.1,CCT6P2,0.675382079,1.933436623,0.161890428,2.125266672,0.483887739,4.39206556,1.12E-05,0.00034503
ENSG00000165632.7,TAF3,517.6325795,611.866645,479.1696956,0.365597951,0.083251913,4.391466065,1.13E-05,0.000345605
ENSG00000145246.9,ATP10D,337.9332934,435.5647396,298.0837235,0.663000291,0.151004425,4.390601736,1.13E-05,0.000346603
ENSG00000100342.16,APOL1,300.4316106,440.9294261,243.0855634,0.909709299,0.207234115,4.389766125,1.13E-05,0.000347179
ENSG00000105483.12,CARD8,587.8143093,730.2765581,529.6664526,0.665602133,0.151619136,4.389961244,1.13E-05,0.000347179
ENSG00000089225.15,TBX5,8.835402855,16.35438516,5.766430485,1.752656585,0.399445389,4.387725166,1.15E-05,0.000349794
ENSG00000138379.4,MSTN,51.88612099,68.44469769,45.12751825,0.721655789,0.164482792,4.387424231,1.15E-05,0.000349794
ENSG00000187800.9,PEAR1,214.6803018,324.5071029,169.8530361,0.89809848,0.204688825,4.387628294,1.15E-05,0.000349794
ENSG00000186831.7,KRT17P2,90.02919812,46.69661577,107.7159664,-1.195257775,0.272616391,-4.384394396,1.16E-05,0.000354313
ENSG00000155962.8,CLIC2,218.1200971,305.4288578,182.4838682,0.678128858,0.15470549,4.383353552,1.17E-05,0.000355625
ENSG00000171873.6,ADRA1D,112.2095615,73.35464029,128.0687131,-1.073068755,0.244962576,-4.380541598,1.18E-05,0.000359856
ENSG00000081320.5,STK17B,319.4251687,424.1448629,276.6824363,0.883025525,0.201639066,4.37923832,1.19E-05,0.000361623
ENSG00000164938.9,TP53INP1,396.285891,491.6929567,357.3442316,0.745783484,0.170317204,4.37879127,1.19E-05,0.000361975
